Altium Designer Pick and Place Locations
F:\NASIB\INGENIERIA\PROYECTOS\Nixie project\V2\CONTROLLER\Project Outputs for nas-craftsman nixie v1\Pick Place\Pick Place for nas-craftsman nixie v1.csv

========================================================================================================================
File Design Information:

Date:       26/07/23
Time:       13:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Description"
"C213","1uF","TopLayer","CAPC4632X220N","436.8536mm","28.2175mm","434.7336mm","28.2175mm","360","1812 MLCC X7R 1 uF, +/- 10% 200 V T&R GP"
"C212","1uF","TopLayer","CAPC4632X220N","436.8662mm","24.3886mm","434.7462mm","24.3886mm","360","1812 MLCC X7R 1 uF, +/- 10% 200 V T&R GP"
"L200","NR8040T100M","TopLayer","NR8040T220M","420.0600mm","17.1671mm","417.2600mm","17.1671mm","0","8040 10uH 44.2mOhms +/-20% 3.1A"
"J101","TMM-105-01-T-D-SM-TR","BottomLayer","TMM10501TDSMTR","430.5630mm","6.5046mm","434.5630mm","4.3696mm","180","Connector"
"R313","100","BottomLayer","RESC1005X40X25LL05T05","431.4173mm","51.4540mm","431.4173mm","51.0540mm","90","SMD 100 Ohms 62.5mW 0402 1%"
"R312","100","BottomLayer","RESC1005X40X25LL05T05","432.7464mm","51.4540mm","432.7464mm","51.0540mm","90","SMD 100 Ohms 62.5mW 0402 1%"
"R311","100","BottomLayer","RESC1005X40X25LL05T05","439.6058mm","51.4344mm","439.6058mm","51.0344mm","90","SMD 100 Ohms 62.5mW 0402 1%"
"C211","100nF","TopLayer","FP-C1206C-EB-MFG","437.4980mm","21.3811mm","438.8980mm","21.3811mm","180","Cap Ceramic 100nF 250V X7R ±10% SMD 1206 +125°C Embossed T/R"
"FB101","Value","TopLayer","BEADC1608X95N","429.3185mm","18.4840mm","429.3185mm","17.6840mm","90","Ferrite Bead, 2A @ 100MHz, 120ohms 25%"
"FB100","Value","TopLayer","BEADC1608X95N","434.0813mm","18.4840mm","434.0813mm","17.6840mm","90","Ferrite Bead, 2A @ 100MHz, 120ohms 25%"
"S303","TL3301BF160QJ","TopLayer","TL3301BF160QJ","430.6950mm","55.3718mm","428.4450mm","57.7798mm","270","Switch"
"S302","TL3301BF160QJ","TopLayer","TL3301BF160QJ","422.0957mm","55.3358mm","419.8457mm","57.7438mm","270","Switch"
"R308","10k","BottomLayer","RESC1005X40X25LL05T05","418.7752mm","51.4540mm","418.7752mm","51.8540mm","270","SMD 10 kOhms 62.5mW 0402 1%"
"C307","100nF","BottomLayer","CAPC1005X55X25LL5T10","420.0350mm","51.4540mm","420.0350mm","51.8440mm","270","CAP, MLCC, 0402/1005, 25V, X7R,"
"J100","USB4120-03-C_REVA","TopLayer","GCT_USB4120-03-C","430.5630mm","13.9605mm","427.8130mm","14.8255mm","0",""
"U302","CP2102N-A02-GQFN24R","BottomLayer","QFN50P400X400X100-25N-D","436.9808mm","53.9527mm","435.0308mm","52.7027mm","360","USB to UART Bridge QFN24"
"U300","ESP32-WROVER-IE","BottomLayer","FP-ESP32-WROVER-IE_M213EH-MFG","427.6801mm","41.1049mm","439.1101mm","32.3549mm","90","RX TXRX MOD WIFI EXT IPEX SMD"
"U303","CD4504BM96","BottomLayer","SOIC127P600X175-16N","420.5809mm","56.1496mm","425.0259mm","53.4376mm","90","CMOS Quad Lo-to-Hi Vltg Level Shifter"
"R310","4k7","BottomLayer","RESC1005X40X25LL05T05","430.2397mm","51.4540mm","430.2397mm","51.0540mm","90","SMD 4.7 kOhms 62.5mW 0402 5%"
